raw,gender
Alabama Kay Ivey R @GovernorKayIvey,F
Alaska Mike Dunleavy R @GovDunleavy,
Arizona Doug Ducey R @dougducey,
Arkansas Asa Hutchinson R @AsaHutchinson,
California Gavin Newsom D @GavinNewsom,
Colorado Jared Polis D @GovofCO,
Connecticut Ned Lamont D @GovNedLamont,
DC Muriel Bowser (mayor) D @MayorBowser,F
Delaware John Carney D @JohnCarneyDE,
Florida Ron DeSantis R @GovRonDeSantis,
Georgia Brian Kemp R @BrianKempGA,
Hawaii David Ige D @GovHawaii,
Idaho Brad Little R @GovernorLittle,
Illinois J.B. Pritzker D @GovPritzker,
Indiana Eric Holcomb R @GovHolcomb,
Iowa Kim Reynolds R @KimReynoldsIA,F
Kansas Laura Kelly D @GovLauraKelly,F
Kentucky Andy Beshear D @GovAndyBeshear,
Louisiana John Bel Edwards D @LouisianaGov,
Maine Janet Mills D @GovJanetMills,F
Maryland Larry Hogan R @LarryHogan,
Massachussetts Charlie Baker R @MassGovernor,
Michigan Gretchen Whitmer D @GovWhitmer,F
Minnesota Tim Walz D @GovTimWalz,
Mississippi Tate Reeves R @tatereeves,
Missouri Mike Parson R @GovParsonMO,
Montana Steve Bullock D @GovernorBullock,
Nebraska Pete Ricketts R @GovRicketts,
Nevada Steve Sisolak D @SteveSisolak,
New Hampshire Chris Sununu R @GovChrisSununu,
New Jersey Phil Murphy D @GovMurphy,
New Mexico Michelle Lujan Grisham D @GovMLG,F
New York Andrew Cuomo D @NYGovCuomo,
North Carolina Roy Cooper D @NC_Governor,
North Dakota Doug Burgum R @DougBurgum,
Ohio Mike DeWine R @GovMikeDeWine,
Oklahoma Kevin Stitt R @GovStitt,
Oregon Kate Brown D @OregonGovBrown,F
Pennsylvania Tom Wolf D @GovernorTomWolf,
Puerto Rico Wanda Vazquez Garced NPP @wandavazquezg,F
Rhode Island Gina Raimondo D @GinaRaimondo,F
South Carolina Henry McMaster R @henrymcmaster,
South Dakota Kristi Noem R @govkristinoem,F
Tennessee Bill Lee R @GovBillLee,
Texas Greg Abbott R @GregAbbott_TX,
Utah Gary Herbert R @GovHerbert,
Vermont Phil Scott R @GovPhilScott,
Virginia Ralph Northam D @GovernorVA,
Washington Jay Inslee D @GovInslee,
West Virginia Jim Justice R @WVGovernor,
Wisconsin Tony Evers D @GovEvers,
Wyoming Mark Gordon R @GovernorGordon,
Guam Lou Leon Guerrero D @louleonguerrero,F
,